Trial 1_x,Trial 1_y,Trial 2_x,Trial 2_y,Trial 3_x,Trial 3_y,Trial 4_x,Trial 4_y,Trial 5_x,Trial 5_y,Trial 6_x,Trial 6_y,Trial 7_x,Trial 7_y,Trial 8_x,Trial 8_y,Trial 9_x,Trial 9_y,Trial 10_x,Trial 10_y,Trial 11_x,Trial 11_y,Trial 12_x,Trial 12_y,Trial 13_x,Trial 13_y,Trial 14_x,Trial 14_y
28.77871692,582.6458333,29.52613008,639.25,29.1308831,396.5625,29.82960727,420.0833333,28.53196531,364.725,36.1,364.3958333,28.51779828,393.6923077,28.89439053,379.6153846,28.9,413.32,29.35113233,383.8541667,29.04501288,597.4375,29.9140776,402.375,28.79398747,251.2083333,29.11177516,330.3958333
31.14500401,577.3541667,30.30927236,636.75,31.49735071,396.4375,30.61284277,421.9166667,30.89990165,369.275,36.88333333,320.6041667,30.90122619,390.3076923,,,31.26666667,409.68,30.13449588,382.1458333,31.41127325,597.5625,30.71400837,402.625,31.16016006,252.7916667,31.49470811,339.6041667
30.32846832,576.6458333,31.09241463,638.25,30.71408326,397.5625,31.39607827,422.0833333,30.11614807,363.725,37.63333333,357.3958333,30.08452712,392.6923077,30.47741654,383.6153846,30.48333333,413.32,30.91785944,383.8541667,30.62807439,592.4375,31.48060868,401.375,30.37699026,251.2083333,30.6948425,332.3958333
32.71141941,578.3541667,31.89221951,638.75,33.04722035,389.4375,32.17931377,418.9166667,,,,,32.43462037,391.3076923,32.8269604,366.3846154,32.83333333,409.68,31.7178903,382.1458333,32.97767096,592.5625,32.26387422,396.625,32.72649965,247.7916667,33.06111158,326.6041667
31.91154771,574.6458333,32.67536179,635.25,32.28061817,394.5625,32.97921385,420.0833333,,,,,31.66792328,392.6923077,32.04377911,378.6153846,32.06666667,412.32,32.50125386,378.8541667,32.1944721,592.4375,33.06380499,399.375,31.94332985,251.2083333,32.26124598,327.3958333
34.2778348,573.3541667,33.45850407,633.75,34.63042052,389.4375,33.76244935,412.9166667,,,,,34.03468386,392.3076923,34.39332298,368.3846154,34.41666667,409.68,33.30128472,380.1458333,34.56073247,591.5625,33.84707053,396.625,34.32616562,250.7916667,34.62751505,328.6041667
33.49462711,576.6458333,34.24164634,634.25,33.84715307,390.5625,34.54568485,418.0833333,,,,,33.23465212,392.6923077,33.62680512,376.6153846,33.61666667,405.32,34.08464828,378.8541667,33.76086981,590.4375,34.63033607,399.375,33.52633264,247.2083333,33.84431331,328.3958333
35.86091419,570.3541667,35.04145122,633.75,36.21362069,389.4375,35.34558493,415.9166667,,,,,35.6014127,391.3076923,35.94302213,367.3846154,36,403.68,34.86801183,380.1458333,36.14379399,591.5625,35.41360162,397.625,35.87584203,248.7916667,36.19391852,325.6041667
35.0610425,568.6458333,35.80793089,629.25,35.41368797,389.5625,36.12882043,417.0833333,,,,,34.81804828,389.6923077,35.1931677,379.6153846,35.21666667,405.32,35.65137539,380.8541667,35.34393133,585.4375,36.19686716,393.375,35.09267223,249.2083333,35.41071679,328.3958333
37.42732959,573.3541667,36.60773577,630.75,37.76349033,386.4375,36.91205593,412.9166667,,,,,37.18480886,389.3076923,37.54271157,364.3846154,37.56666667,401.68,36.41807163,374.1458333,37.6935279,583.5625,36.99679792,394.625,37.42551844,243.7916667,37.76032199,321.6041667
36.64412189,572.6458333,37.39087805,628.25,36.99688814,388.5625,37.69529142,413.0833333,,,,,36.38477712,388.6923077,36.75953028,371.6153846,36.76666667,404.32,37.21810249,374.8541667,36.92699285,584.4375,37.76339824,391.375,36.65901183,246.2083333,36.97712026,325.3958333
,,,,,,,,,,,,38.73487037,383.3076923,39.09241071,366.3846154,39.11666667,400.68,38.01813336,373.1730769,,,,,,,,
,,,,,,,,,,,,37.95150595,384.6923077,38.34255629,373.6153846,38.35,403.32,38.80149691,376.8269231,,,,,,,,
,,,,,,,,,,,,40.30159921,382.3076923,,,,,39.58486047,377.1730769,,,,,,,,
,,,,,,,,,,,,39.53490212,384.6923077,39.89225543,371.6153846,,,40.36822402,374.8269231,,,,,,,,
